,sl,index,sentence,promptsForPython,promptsForJulius
45,46,sx46,That pickpocket was caught red-handed.,THAT PICKPOCKET WAS CAUGHT RED-HANDED,*/sample46 THAT PICKPOCKET WAS CAUGHT RED-HANDED
46,47,sx47,Mom strongly dislikes appetizers.,MOM STRONGLY DISLIKES APPETIZERS,*/sample47 MOM STRONGLY DISLIKES APPETIZERS
47,48,sx48,Grandmother outgrew her upbringing in petticoats.,GRANDMOTHER OUTGREW HER UPBRINGING IN PETTICOATS,*/sample48 GRANDMOTHER OUTGREW HER UPBRINGING IN PETTICOATS
48,49,sx49,At twilight on the twelfth day we'll have Chablis.,AT TWILIGHT ON THE TWELFTH DAY WE'LL HAVE CHABLIS,*/sample49 AT TWILIGHT ON THE TWELFTH DAY WE'LL HAVE CHABLIS
49,50,sx50,Catastrophic economic cutbacks neglect the poor.,CATASTROPHIC ECONOMIC CUTBACKS NEGLECT THE POOR,*/sample50 CATASTROPHIC ECONOMIC CUTBACKS NEGLECT THE POOR
50,51,sx51,Ambidextrous pickpockets accomplish more.,AMBIDEXTROUS PICKPOCKETS ACCOMPLISH MORE,*/sample51 AMBIDEXTROUS PICKPOCKETS ACCOMPLISH MORE
51,52,sx52,Her classical performance gained critical acclaim.,HER CLASSICAL PERFORMANCE GAINED CRITICAL ACCLAIM,*/sample52 HER CLASSICAL PERFORMANCE GAINED CRITICAL ACCLAIM
52,53,sx53,Even a simple vocabulary contains symbols.,EVEN A SIMPLE VOCABULARY CONTAINS SYMBOLS,*/sample53 EVEN A SIMPLE VOCABULARY CONTAINS SYMBOLS
53,54,sx54,The eastern coast is a place for pure pleasure and excitement.,THE EASTERN COAST IS A PLACE FOR PURE PLEASURE AND EXCITEMENT,*/sample54 THE EASTERN COAST IS A PLACE FOR PURE PLEASURE AND EXCITEMENT
54,55,sx55,The lack of heat compounded the tenant's grievances.,THE LACK OF HEAT COMPOUNDED THE TENANT'S GRIEVANCES,*/sample55 THE LACK OF HEAT COMPOUNDED THE TENANT'S GRIEVANCES
55,56,sx56,Academic aptitude guarantees your diploma.,ACADEMIC APTITUDE GUARANTEES YOUR DIPLOMA,*/sample56 ACADEMIC APTITUDE GUARANTEES YOUR DIPLOMA
56,57,sx57,The prowler wore a ski mask for disguise.,THE PROWLER WORE A SKI MASK FOR DISGUISE,*/sample57 THE PROWLER WORE A SKI MASK FOR DISGUISE
57,58,sx58,We experience distress and frustration obtaining our degrees.,WE EXPERIENCE DISTRESS AND FRUSTRATION OBTAINING OUR DEGREES,*/sample58 WE EXPERIENCE DISTRESS AND FRUSTRATION OBTAINING OUR DEGREES
58,59,sx59,The singer's finger had a splinter.,THE SINGER'S FINGER HAD A SPLINTER,*/sample59 THE SINGER'S FINGER HAD A SPLINTER
59,60,sx60,The legislature met to judge the state of public education.,THE LEGISLATURE MET TO JUDGE THE STATE OF PUBLIC EDUCATION,*/sample60 THE LEGISLATURE MET TO JUDGE THE STATE OF PUBLIC EDUCATION
60,61,sx61,Chocolate and roses never fail as a romantic gift.,CHOCOLATE AND ROSES NEVER FAIL AS A ROMANTIC GIFT,*/sample61 CHOCOLATE AND ROSES NEVER FAIL AS A ROMANTIC GIFT
61,62,sx62,Any contributions will be greatly appreciated.,ANY CONTRIBUTIONS WILL BE GREATLY APPRECIATED,*/sample62 ANY CONTRIBUTIONS WILL BE GREATLY APPRECIATED
62,63,sx63,Continental drift is a geological theory.,CONTINENTAL DRIFT IS A GEOLOGICAL THEORY,*/sample63 CONTINENTAL DRIFT IS A GEOLOGICAL THEORY
63,64,sx64,Regular attendance is seldom required.,REGULAR ATTENDANCE IS SELDOM REQUIRED,*/sample64 REGULAR ATTENDANCE IS SELDOM REQUIRED
64,65,sx65,Challenge each general's intelligence.,CHALLENGE EACH GENERAL'S INTELLIGENCE,*/sample65 CHALLENGE EACH GENERAL'S INTELLIGENCE
65,66,sx66,We got drenched from the uninterrupted rain.,WE GOT DRENCHED FROM THE UNINTERRUPTED RAIN,*/sample66 WE GOT DRENCHED FROM THE UNINTERRUPTED RAIN
66,67,sx67,Last year's gas shortage caused steep price increases.,LAST YEAR'S GAS SHORTAGE CAUSED STEEP PRICE INCREASES,*/sample67 LAST YEAR'S GAS SHORTAGE CAUSED STEEP PRICE INCREASES
67,68,sx68,Upgrade your status to reflect your wealth.,UPGRADE YOUR STATUS TO REFLECT YOUR WEALTH,*/sample68 UPGRADE YOUR STATUS TO REFLECT YOUR WEALTH
68,69,sx69,Eat your raisins outdoors on the porch steps.,EAT YOUR RAISINS OUTDOORS ON THE PORCH STEPS,*/sample69 EAT YOUR RAISINS OUTDOORS ON THE PORCH STEPS
69,70,sx70,Did you eat yet?,DID YOU EAT YET,*/sample70 DID YOU EAT YET
70,71,sx71,Porcupines resemble sea urchins.,PORCUPINES RESEMBLE SEA URCHINS,*/sample71 PORCUPINES RESEMBLE SEA URCHINS
71,72,sx72,Spring Street is straight ahead.,SPRING STREET IS STRAIGHT AHEAD,*/sample72 SPRING STREET IS STRAIGHT AHEAD
72,73,sx73,Cliff's display was misplaced on the screen.,CLIFF'S DISPLAY WAS MISPLACED ON THE SCREEN,*/sample73 CLIFF'S DISPLAY WAS MISPLACED ON THE SCREEN
73,74,sx74,An official deadline cannot be postponed.,AN OFFICIAL DEADLINE CANNOT BE POSTPONED,*/sample74 AN OFFICIAL DEADLINE CANNOT BE POSTPONED
74,75,sx75,Fill that canteen with fresh spring water.,FILL THAT CANTEEN WITH FRESH SPRING WATER,*/sample75 FILL THAT CANTEEN WITH FRESH SPRING WATER
75,76,sx76,Gently place Jim's foam sculpture in the box.,GENTLY PLACE JIM'S FOAM SCULPTURE IN THE BOX,*/sample76 GENTLY PLACE JIM'S FOAM SCULPTURE IN THE BOX
76,77,sx77,Bagpipes and bongos are musical instruments.,BAGPIPES AND BONGOS ARE MUSICAL INSTRUMENTS,*/sample77 BAGPIPES AND BONGOS ARE MUSICAL INSTRUMENTS
77,78,sx78,Doctors prescribe drugs too freely.,DOCTORS PRESCRIBE DRUGS TOO FREELY,*/sample78 DOCTORS PRESCRIBE DRUGS TOO FREELY
78,79,sx79,Will you please describe the idiotic predicament.,WILL YOU PLEASE DESCRIBE THE IDIOTIC PREDICAMENT,*/sample79 WILL YOU PLEASE DESCRIBE THE IDIOTIC PREDICAMENT
79,80,sx80,It's illegal to postdate a check.,IT'S ILLEGAL TO POSTDATE A CHECK,*/sample80 IT'S ILLEGAL TO POSTDATE A CHECK
80,81,sx81,It's impossible to deal with bureaucracy.,IT'S IMPOSSIBLE TO DEAL WITH BUREAUCRACY,*/sample81 IT'S IMPOSSIBLE TO DEAL WITH BUREAUCRACY
81,82,sx82,Good service should be rewarded by big tips.,GOOD SERVICE SHOULD BE REWARDED BY BIG TIPS,*/sample82 GOOD SERVICE SHOULD BE REWARDED BY BIG TIPS
82,83,sx83,My instructions desperately need updating.,MY INSTRUCTIONS DESPERATELY NEED UPDATING,*/sample83 MY INSTRUCTIONS DESPERATELY NEED UPDATING
83,84,sx84,Cooperation along with understanding alleviate dispute.,COOPERATION ALONG WITH UNDERSTANDING ALLEVIATE DISPUTE,*/sample84 COOPERATION ALONG WITH UNDERSTANDING ALLEVIATE DISPUTE
84,85,sx85,Cement is measured in cubic yards.,CEMENT IS MEASURED IN CUBIC YARDS,*/sample85 CEMENT IS MEASURED IN CUBIC YARDS
85,86,sx86,Hispanic costumes are quite colorful.,HISPANIC COSTUMES ARE QUITE COLORFUL,*/sample86 HISPANIC COSTUMES ARE QUITE COLORFUL
86,87,sx87,Primitive tribes have an upbeat attitude.,PRIMITIVE TRIBES HAVE AN UPBEAT ATTITUDE,*/sample87 PRIMITIVE TRIBES HAVE AN UPBEAT ATTITUDE
87,88,sx88,Flying standby can be practical if you want to save money.,FLYING STANDBY CAN BE PRACTICAL IF YOU WANT TO SAVE MONEY,*/sample88 FLYING STANDBY CAN BE PRACTICAL IF YOU WANT TO SAVE MONEY
88,89,sx89,It's hard to tell an original from a forgery.,IT'S HARD TO TELL AN ORIGINAL FROM A FORGERY,*/sample89 IT'S HARD TO TELL AN ORIGINAL FROM A FORGERY
89,90,sx90,The Thinker is a famous sculpture.,THE THINKER IS A FAMOUS SCULPTURE,*/sample90 THE THINKER IS A FAMOUS SCULPTURE
90,91,sx91,The misprint provoked an immediate disclaimer.,THE MISPRINT PROVOKED AN IMMEDIATE DISCLAIMER,*/sample91 THE MISPRINT PROVOKED AN IMMEDIATE DISCLAIMER
91,92,sx92,A large household needs lots of appliances.,A LARGE HOUSEHOLD NEEDS LOTS OF APPLIANCES,*/sample92 A LARGE HOUSEHOLD NEEDS LOTS OF APPLIANCES
92,93,sx93,Cut a small corner off each edge.,CUT A SMALL CORNER OFF EACH EDGE,*/sample93 CUT A SMALL CORNER OFF EACH EDGE
93,94,sx94,Youngsters love common candy as treats.,YOUNGSTERS LOVE COMMON CANDY AS TREATS,*/sample94 YOUNGSTERS LOVE COMMON CANDY AS TREATS
94,95,sx95,Iguanas and alligators are tropical reptiles.,IGUANAS AND ALLIGATORS ARE TROPICAL REPTILES,*/sample95 IGUANAS AND ALLIGATORS ARE TROPICAL REPTILES
95,96,sx96,Masquerade parties tax one's imagination.,MASQUERADE PARTIES TAX ONE'S IMAGINATION,*/sample96 MASQUERADE PARTIES TAX ONE'S IMAGINATION
96,97,sx97,Penguins live near the icy Antarctic.,PENGUINS LIVE NEAR THE ICY ANTARCTIC,*/sample97 PENGUINS LIVE NEAR THE ICY ANTARCTIC
97,98,sx98,Guess the question from the answer.,GUESS THE QUESTION FROM THE ANSWER,*/sample98 GUESS THE QUESTION FROM THE ANSWER
98,99,sx99,Medieval society was based on hierarchies.,MEDIEVAL SOCIETY WAS BASED ON HIERARCHIES,*/sample99 MEDIEVAL SOCIETY WAS BASED ON HIERARCHIES
99,100,sx100,Project development was proceeding too slowly.,PROJECT DEVELOPMENT WAS PROCEEDING TOO SLOWLY,*/sample100 PROJECT DEVELOPMENT WAS PROCEEDING TOO SLOWLY
100,101,sx101,Kindergarten children decorate their classrooms for all holidays.,KINDERGARTEN CHILDREN DECORATE THEIR CLASSROOMS FOR ALL HOLIDAYS,*/sample101 KINDERGARTEN CHILDREN DECORATE THEIR CLASSROOMS FOR ALL HOLIDAYS
101,102,sx102,Special task forces rescue hostages from kidnappers.,SPECIAL TASK FORCES RESCUE HOSTAGES FROM KIDNAPPERS,*/sample102 SPECIAL TASK FORCES RESCUE HOSTAGES FROM KIDNAPPERS
102,103,sx103,Call an ambulance for medical assistance.,CALL AN AMBULANCE FOR MEDICAL ASSISTANCE,*/sample103 CALL AN AMBULANCE FOR MEDICAL ASSISTANCE
103,104,sx104,He stole a dime from a beggar.,HE STOLE A DIME FROM A BEGGAR,*/sample104 HE STOLE A DIME FROM A BEGGAR
104,105,sx105,You must explicitly delete files.,YOU MUST EXPLICITLY DELETE FILES,*/sample105 YOU MUST EXPLICITLY DELETE FILES
105,106,sx106,A huge tapestry hung in her hallway.,A HUGE TAPESTRY HUNG IN HER HALLWAY,*/sample106 A HUGE TAPESTRY HUNG IN HER HALLWAY
106,107,sx107,Birthday parties have cupcakes and ice cream.,BIRTHDAY PARTIES HAVE CUPCAKES AND ICE CREAM,*/sample107 BIRTHDAY PARTIES HAVE CUPCAKES AND ICE CREAM
107,108,sx108,His scalp was blistered from today's hot sun.,HIS SCALP WAS BLISTERED FROM TODAY'S HOT SUN,*/sample108 HIS SCALP WAS BLISTERED FROM TODAY'S HOT SUN
108,109,sx109,She slipped and sprained her ankle on the steep slope.,SHE SLIPPED AND SPRAINED HER ANKLE ON THE STEEP SLOPE,*/sample109 SHE SLIPPED AND SPRAINED HER ANKLE ON THE STEEP SLOPE
109,110,sx110,The best way to learn is to solve extra problems.,THE BEST WAY TO LEARN IS TO SOLVE EXTRA PROBLEMS,*/sample110 THE BEST WAY TO LEARN IS TO SOLVE EXTRA PROBLEMS
110,111,sx111,His sudden departure shocked the cast.,HIS SUDDEN DEPARTURE SHOCKED THE CAST,*/sample111 HIS SUDDEN DEPARTURE SHOCKED THE CAST
111,112,sx112,Tugboats are capable of hauling huge loads.,TUGBOATS ARE CAPABLE OF HAULING HUGE LOADS,*/sample112 TUGBOATS ARE CAPABLE OF HAULING HUGE LOADS
112,113,sx113,A muscular abdomen is good for your back.,A MUSCULAR ABDOMEN IS GOOD FOR YOUR BACK,*/sample113 A MUSCULAR ABDOMEN IS GOOD FOR YOUR BACK
113,114,sx114,The cartoon features a muskrat and a tadpole.,THE CARTOON FEATURES A MUSKRAT AND A TADPOLE,*/sample114 THE CARTOON FEATURES A MUSKRAT AND A TADPOLE
114,115,sx115,The emblem depicts the Acropolis all aglow.,THE EMBLEM DEPICTS THE ACROPOLIS ALL AGLOW,*/sample115 THE EMBLEM DEPICTS THE ACROPOLIS ALL AGLOW
115,116,sx116,Clasp the screw in your left hand.,CLASP THE SCREW IN YOUR LEFT HAND,*/sample116 CLASP THE SCREW IN YOUR LEFT HAND
116,117,sx117,The mango and the papaya are in a bowl.,THE MANGO AND THE PAPAYA ARE IN A BOWL,*/sample117 THE MANGO AND THE PAPAYA ARE IN A BOWL
117,118,sx118,Combine all the ingredients in a large bowl.,COMBINE ALL THE INGREDIENTS IN A LARGE BOWL,*/sample118 COMBINE ALL THE INGREDIENTS IN A LARGE BOWL
118,119,sx119,The misquote was retracted with an apology.,THE MISQUOTE WAS RETRACTED WITH AN APOLOGY,*/sample119 THE MISQUOTE WAS RETRACTED WITH AN APOLOGY
119,120,sx120,"The coyote, bobcat, and hyena are wild animals.",THE COYOTE BOBCAT AND HYENA ARE WILD ANIMALS,*/sample120 THE COYOTE BOBCAT AND HYENA ARE WILD ANIMALS
120,121,sx121,Trespassing is forbidden and subject to penalty.,TRESPASSING IS FORBIDDEN AND SUBJECT TO PENALTY,*/sample121 TRESPASSING IS FORBIDDEN AND SUBJECT TO PENALTY
121,122,sx122,Encyclopedias seldom present anecdotal evidence.,ENCYCLOPEDIAS SELDOM PRESENT ANECDOTAL EVIDENCE,*/sample122 ENCYCLOPEDIAS SELDOM PRESENT ANECDOTAL EVIDENCE
122,123,sx123,A screwdriver is made from vodka and orange juice.,A SCREWDRIVER IS MADE FROM VODKA AND ORANGE JUICE,*/sample123 A SCREWDRIVER IS MADE FROM VODKA AND ORANGE JUICE
123,124,sx124,Objects made of pewter are beautiful.,OBJECTS MADE OF PEWTER ARE BEAUTIFUL,*/sample124 OBJECTS MADE OF PEWTER ARE BEAUTIFUL
124,125,sx125,Westchester is a county in New York.,WESTCHESTER IS A COUNTY IN NEW YORK,*/sample125 WESTCHESTER IS A COUNTY IN NEW YORK
125,126,sx126,Artificial intelligence is for real.,ARTIFICIAL INTELLIGENCE IS FOR REAL,*/sample126 ARTIFICIAL INTELLIGENCE IS FOR REAL
126,127,sx127,The emperor had a mean temper.,THE EMPEROR HAD A MEAN TEMPER,*/sample127 THE EMPEROR HAD A MEAN TEMPER
127,128,sx128,Lots of foreign movies have subtitles.,LOTS OF FOREIGN MOVIES HAVE SUBTITLES,*/sample128 LOTS OF FOREIGN MOVIES HAVE SUBTITLES
128,129,sx129,Angora cats are furrier than Siamese.,ANGORA CATS ARE FURRIER THAN SIAMESE,*/sample129 ANGORA CATS ARE FURRIER THAN SIAMESE
129,130,sx130,He ate four extra eggs for breakfast.,HE ATE FOUR EXTRA EGGS FOR BREAKFAST,*/sample130 HE ATE FOUR EXTRA EGGS FOR BREAKFAST
130,131,sx131,We plan to build a new beverage plant.,WE PLAN TO BUILD A NEW BEVERAGE PLANT,*/sample131 WE PLAN TO BUILD A NEW BEVERAGE PLANT
131,132,sx132,Publicity and notoriety go hand in hand.,PUBLICITY AND NOTORIETY GO HAND IN HAND,*/sample132 PUBLICITY AND NOTORIETY GO HAND IN HAND
132,133,sx133,Pizzerias are convenient for a quick lunch.,PIZZERIAS ARE CONVENIENT FOR A QUICK LUNCH,*/sample133 PIZZERIAS ARE CONVENIENT FOR A QUICK LUNCH
133,134,sx134,December and January are nice months to spend in Miami.,DECEMBER AND JANUARY ARE NICE MONTHS TO SPEND IN MIAMI,*/sample134 DECEMBER AND JANUARY ARE NICE MONTHS TO SPEND IN MIAMI
134,135,sx135,Technical writers can abbreviate in bibliographies.,TECHNICAL WRITERS CAN ABBREVIATE IN BIBLIOGRAPHIES,*/sample135 TECHNICAL WRITERS CAN ABBREVIATE IN BIBLIOGRAPHIES
135,136,sx136,Scientific progress comes from the development of new techniques.,SCIENTIFIC PROGRESS COMES FROM THE DEVELOPMENT OF NEW TECHNIQUES,*/sample136 SCIENTIFIC PROGRESS COMES FROM THE DEVELOPMENT OF NEW TECHNIQUES
136,137,sx137,Tradition requires parental approval for under-age marriage.,TRADITION REQUIRES PARENTAL APPROVAL FOR UNDER-AGE MARRIAGE,*/sample137 TRADITION REQUIRES PARENTAL APPROVAL FOR UNDER-AGE MARRIAGE
137,138,sx138,The clumsy customer spilled some expensive perfume.,THE CLUMSY CUSTOMER SPILLED SOME EXPENSIVE PERFUME,*/sample138 THE CLUMSY CUSTOMER SPILLED SOME EXPENSIVE PERFUME
138,139,sx139,The bungalow was pleasantly situated near the shore.,THE BUNGALOW WAS PLEASANTLY SITUATED NEAR THE SHORE,*/sample139 THE BUNGALOW WAS PLEASANTLY SITUATED NEAR THE SHORE
139,140,sx140,Agricultural products are unevenly distributed.,AGRICULTURAL PRODUCTS ARE UNEVENLY DISTRIBUTED,*/sample140 AGRICULTURAL PRODUCTS ARE UNEVENLY DISTRIBUTED
140,141,sx141,Pledge to participate in Nevada's aquatic competition.,PLEDGE TO PARTICIPATE IN NEVADA'S AQUATIC COMPETITION,*/sample141 PLEDGE TO PARTICIPATE IN NEVADA'S AQUATIC COMPETITION
141,142,sx142,Which long article was opaque and needed clarification?,WHICH LONG ARTICLE WAS OPAQUE AND NEEDED CLARIFICATION,*/sample142 WHICH LONG ARTICLE WAS OPAQUE AND NEEDED CLARIFICATION
142,143,sx143,The sound of Jennifer's bugle scared the antelope.,THE SOUND OF JENNIFER'S BUGLE SCARED THE ANTELOPE,*/sample143 THE SOUND OF JENNIFER'S BUGLE SCARED THE ANTELOPE
143,144,sx144,The willowy woman wore a muskrat coat.,THE WILLOWY WOMAN WORE A MUSKRAT COAT,*/sample144 THE WILLOWY WOMAN WORE A MUSKRAT COAT
144,145,sx145,Too much curiosity can get you into trouble.,TOO MUCH CURIOSITY CAN GET YOU INTO TROUBLE,*/sample145 TOO MUCH CURIOSITY CAN GET YOU INTO TROUBLE
145,146,sx146,Cyclical programs will never compile.,CYCLICAL PROGRAMS WILL NEVER COMPILE,*/sample146 CYCLICAL PROGRAMS WILL NEVER COMPILE
146,147,sx147,Correct execution of my instructions is crucial.,CORRECT EXECUTION OF MY INSTRUCTIONS IS CRUCIAL,*/sample147 CORRECT EXECUTION OF MY INSTRUCTIONS IS CRUCIAL
147,148,sx148,Most precincts had a third of the votes counted.,MOST PRECINCTS HAD A THIRD OF THE VOTES COUNTED,*/sample148 MOST PRECINCTS HAD A THIRD OF THE VOTES COUNTED
148,149,sx149,While waiting for Chipper she crisscrossed the square many times.,WHILE WAITING FOR CHIPPER SHE CRISSCROSSED THE SQUARE MANY TIMES,*/sample149 WHILE WAITING FOR CHIPPER SHE CRISSCROSSED THE SQUARE MANY TIMES
149,150,sx150,Vietnamese cuisine is exquisite.,VIETNAMESE CUISINE IS EXQUISITE,*/sample150 VIETNAMESE CUISINE IS EXQUISITE
150,151,sx151,The previous speaker presented ambiguous results.,THE PREVIOUS SPEAKER PRESENTED AMBIGUOUS RESULTS,*/sample151 THE PREVIOUS SPEAKER PRESENTED AMBIGUOUS RESULTS
151,152,sx152,"Mosquitoes exist in warm, humid climates.",MOSQUITOES EXIST IN WARM HUMID CLIMATES,*/sample152 MOSQUITOES EXIST IN WARM HUMID CLIMATES
152,153,sx153,Scholastic aptitude is judged by standardized tests.,SCHOLASTIC APTITUDE IS JUDGED BY STANDARDIZED TESTS,*/sample153 SCHOLASTIC APTITUDE IS JUDGED BY STANDARDIZED TESTS
153,154,sx154,Orange juice tastes funny after toothpaste.,ORANGE JUICE TASTES FUNNY AFTER TOOTHPASTE,*/sample154 ORANGE JUICE TASTES FUNNY AFTER TOOTHPASTE
